,ligand,sz,mcc,rmsd
144,1slnA1,35,0.76911956071853638,1.1512430906295776
145,1sltA1,26,0.84036880731582642,0.71189123392105103
146,1srfA1,22,0.77095860242843628,0.91090357303619385
147,1srgA1,19,0.70877474546432495,0.89803951978683472
148,1srhA1,21,0.75632989406585693,0.90859299898147583
149,1srjB1,22,0.79545974731445312,0.8290894627571106
150,1stpA1,16,0.73815184831619263,0.93917179107666016
151,1tdbA1,21,0.74849206209182739,0.95320051908493042
152,1tmnA1,35,0.83779656887054443,0.99634456634521484
153,1tngA1,8,0.85587084293365479,0.52036714553833008
154,1tnhA1,9,0.84250670671463013,0.54575890302658081
155,1tniA1,11,0.85822004079818726,0.62605148553848267
156,1tnlA1,10,0.84510844945907593,0.57916861772537231
157,1tphB1,10,0.96540725231170654,0.29299509525299072
158,1tppA1,15,0.83300596475601196,0.57905012369155884
159,1ulbA1,11,0.90692389011383057,0.43591880798339844
160,1uvsB1,32,0.7168077826499939,0.94143134355545044
161,1uvtB1,27,0.79523336887359619,0.74510997533798218
162,1xidA1,12,0.86192566156387329,0.55473864078521729
163,1xkbB1,29,0.75255143642425537,0.91705077886581421
164,1ydrA1,20,0.82337135076522827,0.77176451683044434
165,1ydsA1,18,0.84601038694381714,0.74618136882781982
166,1ydtA1,27,0.74795854091644287,1.0506666898727417
167,2ackA1,12,0.85404598712921143,0.51729673147201538
168,2adaA1,19,0.82676023244857788,0.80636304616928101
169,2cgrB1,29,0.73329746723175049,0.97008168697357178
170,2cmdA1,13,0.88810861110687256,0.58639699220657349
171,2cppA1,11,0.9189792275428772,0.45173367857933044
172,2dblB1,30,0.67749696969985962,1.2530343532562256
173,2gbpA1,12,0.90727746486663818,0.54249846935272217
174,2h4nA1,13,0.83882850408554077,0.74152332544326782
175,2ifbA1,18,0.87965840101242065,0.52199196815490723
176,2mcpB1,11,0.92318981885910034,0.32924985885620117
177,2mipC1,54,0.58273816108703613,1.5467215776443481
178,2mipD2,54,0.67387247085571289,1.5374644994735718
179,2pcpB1,18,0.84546351432800293,0.62552171945571899
180,2phhA1,10,0.81696838140487671,0.44401800632476807
181,2qwkA1,20,0.83221513032913208,0.74753695726394653
182,2simA1,20,0.87075352668762207,0.72637397050857544
183,2tmnA1,13,0.87605094909667969,0.58365374803543091
184,2yhxA1,21,0.76481741666793823,0.8849637508392334
185,2ypiA1,9,0.85335129499435425,0.5949939489364624
186,3erdA1,20,0.81379300355911255,0.78341400623321533
187,3ertA1,29,0.80676984786987305,0.95018118619918823
188,3gchC1,12,0.80978071689605713,0.5541955828666687
189,3ptbA1,9,0.92518281936645508,0.33792105317115784
190,4aahC1,24,0.82406055927276611,0.89587587118148804
191,4ctsB1,9,0.8996882438659668,0.46518805623054504
192,4er2A1,48,0.6983000636100769,1.5372188091278076
193,4estA1,36,0.74612796306610107,1.3528202772140503
194,4lbdA1,29,0.69430011510848999,1.2145919799804688
195,4phvB1,46,0.58089196681976318,1.3267320394515991
